"establishment_id","establishment_name","minimum_inspections_peryear","lat","lon","score","Freq","type"
"10418749","GALAXY DESSERTS",2,43.7404167,-79.2887029,100,392,"Bakery"
"10394087","EUROPEAN PATISSERIE",2,43.6454813,-79.53179,100,392,"Bakery"
"9061963","KOREAN BAKERY",2,43.6637552,-79.4169265,100,392,"Bakery"
"10332080","RED SAIL BOAT BAKERY",2,43.7912836,-79.3134618,100,392,"Bakery"
"9014096","SILVERSTEIN'S BAKERY",2,43.655975,-79.3921153,97,392,"Bakery"
"9006168","GLOUCESTER BAKERY",2,43.7914472,-79.3662125,100,392,"Bakery"
"10412513","CAKE STAR",2,43.5955108,-79.5289947,100,392,"Bakery"
"10439765","Mrs. Bridges British Bakery",2,43.7455679,-79.5258833,100,392,"Bakery"
"9012811","RED HOUSE BAKERY",2,43.7869977,-79.275978,100,392,"Bakery"
"9001852","BREAD KING BAKERIES",2,43.7069859,-79.2681482,100,392,"Bakery"
"10445994","FU XIN BAKERY",2,43.7993396,-79.3066474,100,392,"Bakery"
"10213357","CHRIS BREAD BAKERY",3,43.7356323,-79.2525112,98,392,"Bakery"
"10415924","BIGODES SPORTS BAR",2,43.6695622,-79.4382202,100,392,"Bakery"
"10237935","FRANGIPANE PATISSERIE",2,43.6749646,-79.405548,100,392,"Bakery"
"10356803","DUFFLET PASTERIES",2,43.6334017,-79.5225653,100,392,"Bakery"
"9008504","LA IDA FOODS LTD.",2,43.7535538,-79.6163901,94,392,"Bakery"
"10421081","JANER'S BAKERY",2,43.6587381,-79.4428432,99,392,"Bakery"
"9001408","BENNA'S BAKERY & DELI",2,43.6432044,-79.4477295,100,392,"Bakery"
"10307082","WESTON BAKERIES/READY BAKE",2,43.7643979,-79.5605758,100,392,"Bakery"
"9014416","ST CLAIR BAKERY/ STARS BY NIGHT",2,43.6748917,-79.457664,100,392,"Bakery"
"10328369","177511 ONTARIO LTD BAKERY",2,43.7053879,-79.2522161,100,392,"Bakery"
"9019026","NOVA ERA BAKERY & PASTRY",3,43.6819953,-79.4674789,100,392,"Bakery"
"10342417","COOKIELOVERS.COM",2,43.7138603,-79.4284726,100,392,"Bakery"
"10255453","COBS BREAD",2,43.654909,-79.4003529,77,392,"Bakery"
"10309080","RIVI'S GUILT FREE COOKIES",2,43.7638603,-79.4766712,100,392,"Bakery"
"10449401","COOKIEGRAMS",2,43.7717294,-79.4745927,100,392,"Bakery"
"10403977","PATISSERIE SEBASTIEN",2,43.7308797,-79.4038002,97,392,"Bakery"
"9054119","DONLANDS BAKERY",2,43.6903351,-79.3490215,100,392,"Bakery"
"9050728","RUWAN'S CAKE ART",2,43.790412,-79.2698749,100,392,"Bakery"
"10359949","LEAH'S",2,43.6819929,-79.4235863,100,392,"Bakery"
"10216936","SWEET BLISS",2,43.6638256,-79.3281508,100,392,"Bakery"
"10426732","FURAMA CAKE & DESSERTS GARDEN (WALLMART)",2,43.8351193,-79.2557052,100,392,"Bakery"
"10369032","SWEET DEPO INT.",2,43.6560656,-79.3380038,100,392,"Bakery"
"9000772","ARMENIAN VILLAGE BAKERY",2,43.7310163,-79.3054141,100,392,"Bakery"
"9006188","GOLDEN BAKERY CAKES & PASTRIES",2,43.8101025,-79.2567983,97,392,"Bakery"
"10400673","KNEAD BAKERY",2,43.6806957,-79.2871407,100,392,"Bakery"
"10378845","OMG BAKED GOODNESS LTD.",2,43.6497177,-79.4338923,100,392,"Bakery"
"10401765","COLUMBUS BAKERY",3,43.7190345,-79.5081053,100,392,"Bakery"
"9408703","STEELES BAKERY",2,43.7909665,-79.4452533,67,392,"Bakery"
"10335434","DESSERTS BY PHIPPS",2,43.7561015,-79.3595434,100,392,"Bakery"
"9005145","EUROPEAN SAUSAGE HOUSE - BAKERY",2,43.7638393,-79.5297755,100,392,"Bakery"
"10252562","BRICK STREET BREADS INC.",2,43.6605574,-79.3424724,73,392,"Bakery"
"9006653","HARBORD BAKERY",3,43.6625209,-79.4046685,92,392,"Bakery"
"9004215","DIMPFLMEIER BAKERY LIMITED",2,43.6336292,-79.5299946,100,392,"Bakery"
"10335452","YUMMY STUFF",2,43.6392719,-79.4435552,100,392,"Bakery"
"10325036","PETITE THUET",2,43.6803146,-79.3910249,100,392,"Bakery"
"10297530","O CANTNHO BAKERY & PASTRY",2,43.6823058,-79.465489,100,392,"Bakery"
"9016547","TORONTO BREAD",2,43.7701023,-79.2789369,100,392,"Bakery"
"10428745","AROMA BAKERY",2,43.7887581,-79.2687965,100,392,"Bakery"
"10220283","THE STONEMILL BAKEHOUSE LTD.",2,43.7982096,-79.2431173,100,392,"Bakery"
"10419519","LIVE ORGANIC PRODUTS",2,43.667794,-79.449842,100,392,"Bakery"
"9001004","BAKERS BEST BAKERY",2,43.8272342,-79.2915852,100,392,"Bakery"
"10271038","MY MARKET BAKERY",2,43.6548164,-79.401046,88,392,"Bakery"
"10207020","CHINESE BAKERY",2,43.653371,-79.3955531,89,392,"Bakery"
"9004559","DOUBLE CHOC DONUT BAKERY",2,43.7691419,-79.5390467,72,392,"Bakery"
"10432733","CANBRANDS SPECIALTY FOODS",2,43.7762782,-79.4768564,100,392,"Bakery"
"10365461","LAMANNA'S BAKERY",2,43.7978658,-79.1480212,100,392,"Bakery"
"10186651","ZAM ZAM FOODS",2,43.8105018,-79.2386645,100,392,"Bakery"
"10443891","ELITE BAKERY",2,43.7693833,-79.2818526,100,392,"Bakery"
"10437581","EVA CHRISTINA CAKES",2,43.6795946,-79.4363717,100,392,"Bakery"
"10381232","BOBETTE & BELLE INC.",2,43.6621621,-79.3349728,100,392,"Bakery"
"10247922","SIMBA'S FIRST CLASS BAKERY",2,43.7536692,-79.2543125,55,392,"Bakery"
"10270305","HONEY DONUT BAKERY",2,43.8105765,-79.2392741,70,392,"Bakery"
"10426580","AROMAZ CAKE & PASTIRES",2,43.7977079,-79.2722368,100,392,"Bakery"
"10363894","CELENA'S BAKERY",2,43.685517,-79.3143084,100,392,"Bakery"
"10415460","DA BEST FILIPINO BAKERY",2,43.7366622,-79.4371858,100,392,"Bakery"
"10447119","Sahin International",2,43.7114914,-79.5674026,79,392,"Bakery"
"10226468","NINO D'AVERSA",3,43.7598844,-79.48922,100,392,"Bakery"
"10423377","PATISSETTE 27",2,43.6584575,-79.4880731,100,392,"Bakery"
"9022205","BAKERY ON THE GO",2,43.6655525,-79.4113545,98,392,"Bakery"
"10444879","BIRMAN & SONS LTD",2,43.7726041,-79.4704697,100,392,"Bakery"
"10424980","BAGEL KING BAKERY AND DELICATESSEN BAKERY",2,43.7465474,-79.3259595,100,392,"Bakery"
"10297405","SHASHA BREAD CO.",2,43.6230966,-79.5094982,100,392,"Bakery"
"10189129","SUPER BAKER",2,43.6227573,-79.519008,100,392,"Bakery"
"9015823","THE HOT OVEN",3,43.6327811,-79.5546869,100,392,"Bakery"
"9050327","CHINESE BAKERY",2,43.822058,-79.298592,98,392,"Bakery"
